timestamp,category,stimulus,feature_tag,rating_1to5,reaction_time_ms,concentration_ratio,alert_triggered,multi_face_ratio,multi_face_alert_triggered,reliable_trial,valid_response,display_duration_sec
2026-08-11T11:38:41,Beverages,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (1).png,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (1),,,1.0,False,0.0,False,True,False,6.0
2026-08-11T11:38:47,Beverages,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (2).png,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (2),,,0.911,False,0.089,True,True,False,6.0
