timestamp,category,stimulus,feature_tag,rating_1to5,reaction_time_ms,concentration_ratio,alert_triggered,multi_face_ratio,multi_face_alert_triggered,reliable_trial,valid_response,display_duration_sec,user_id,trial_id,emotion,gaze_x,gaze_y,attention_time,emotion_score,engagement_score,Product Features,Eye direction
2026-08-11T12:04:48,Beverages,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (1).png,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (1),,,0.939,False,0.061,True,True,False,6.0,7,3,NA,NA,NA,5.63,NA,9.39,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (1),NA
2026-08-11T12:04:54,Beverages,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (2).png,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (2),,,0.978,False,0.022,True,True,False,6.0,7,4,NA,NA,NA,5.87,NA,9.78,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (2),NA
