timestamp,category,stimulus,feature_tag,rating_1to5,reaction_time_ms,concentration_ratio,alert_triggered,multi_face_ratio,multi_face_alert_triggered,reliable_trial,valid_response,display_duration_sec,user_id,trial_id,attention_time,engagement_score,Product Features,emotion,emotion_score,gaze_x,gaze_y,Eye direction
2026-08-13T12:31:00,Beverages,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (2).png,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (2),,,1.0,False,0.0,False,True,False,6.0,12,1069,6.0,10.0,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (2),neutral,0.5,433.58,239.46,C (Neutral)
2026-08-13T12:31:06,Beverages,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (1).png,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (1),,,0.603,False,0.397,True,False,False,6.0,12,1070,3.62,6.03,Gemini_Generated_Image_1m1vgm1m1vgm1m1v (1),angry,0.0,395.54,231.7,C (Neutral)
